Date,Time,Stop/Station,Passenger_Count,Vehicle_ID,Latitude,Longitude,Temperature (°C),Precipitation (mm),Humidity (%),Age_Group,Gender,Feedback
2023-11-16,12:03,Johor Bahru,46,BUS257,6.102313693610195,116.51192119400729,10,1,92,18-24,Male,Outlier
2023-07-14,05:07,Cameron Highlands,252,TRAIN21,6.514666843204668,118.00665769595714,15,3,65,18-24,Female,Duplicate
2023-09-22,14:11,Ipoh,51,BUS502,5.404016849942652,104.33350534082352,22,3,90,18-24,Female,Seats were uncomfortable
2022-07-12,09:11,Penang,38,TRAIN24,4.878922667430343,110.39354434593383,16,3,89,25-40,Male,Service was excellent
2023-12-09,16:59,Kuching,136,BUS365,4.842396391912384,109.84158103934249,15,1,50,40-60,Female,Route was confusing
2022-12-26,07:59,Kuching,62,TRAIN10,1.9340824345800678,115.93595903126001,19,0,62,25-40,Male,Service was excellent
2022-01-10,01:18,Penang,128,TRAIN97,2.3194652857705282,119.14448336708617,24,1,51,18-24,Female,Station was well-maintained
2023-12-25,21:28,Ipoh,96,TRAIN92,2.3736581680082276,110.04761328981138,21,0,98,18-24,Male,Outlier
2022-10-05,00:21,Kuala Lumpur,67,BUS935,1.9760530600487884,111.20943059659504,28,0,83,25-40,Female,Delay in departure
2023-08-23,09:08,Kuching,33,TRAIN98,3.867997501957962,108.46436092955194,11,4,61,25-40,Male,Delay in departure
2022-03-12,18:11,Georgetown,134,TRAIN87,1.4015183291821172,109.96366663097155,15,0,89,25-40,Female,Outlier
2023-04-18,21:51,Langkawi,78,BUS691,2.7245515053259606,110.6687489365026,18,1,61,18-24,Female,Outlier
2023-08-24,17:55,Ipoh,74,TRAIN78,5.8445789879129055,115.16263050083127,24,0,93,40-60,Female,Delay in departure
2023-02-01,15:03,Johor Bahru,78,TRAIN44,6.549051932098423,119.68722292925766,23,1,52,25-40,Female,Delay in departure
2022-11-11,10:24,Missing value,140,TRAIN42,6.192506884687164,116.51407823402326,15,3,77,25-40,Male,Bus arrived on time
2023-12-07,21:28,Georgetown,113,BUS780,2.9030123772686363,119.02310204012522,10,4,70,18-24,Male,Route was confusing
2023-05-02,21:14,Kota Kinabalu,138,TRAIN58,4.175819102128171,102.93228306437851,17,0,50,25-40,Female,Driver was friendly
2023-07-06,15:01,Ipoh,19,TRAIN63,6.602098719462985,103.33204966782463,19,3,75,25-40,Female,Cleanliness was lacking
2022-03-29,12:11,Malacca,85,TRAIN76,4.400077131114174,107.93709790838778,19,3,86,25-40,Male,Poor signage at the station
2022-06-24,07:11,Georgetown,62,BUS890,2.5313766195903264,108.47132841728668,23,1,83,18-24,Female,Service was excellent
