Date,Time,Stop/Station,Passenger_Count,Vehicle_ID,Latitude,Longitude,Temperature (°C),Precipitation (mm),Humidity (%),Age_Group,Gender,Feedback
2024-05-27 09:14:47,07:30,Kennedy Mills,4,3238,-41.775268,-137.578577,32.5,1.4,73.6,Child,Male,Across society opportunity line.
2024-05-03 07:59:23,10:30,Katherine Parkways,4,2179,-26.1753465,92.200247,30.5,1.2,75.7,Teenager,Female,Difficult simple western oil.
2024-05-17 06:40:46,17:15,Laura Squares,2,8784,-36.651500,38.430379,30.5,1.1,72.4,Elderly,Female,Suddenly bar action level how second answer.
2024-05-16 07:39:15,08:45,Li Roads,3,1456,-14.441141,51.795748,28.2,6.0,74.4,Adult,Male,Evidence this sit throughout sound case.
2024-05-08 03:25:31,12:00,Taylor Square,6,2155,-24.1651045,-165.376199,24.3,2.5,81.7,Adult,Male,Get shake scene say.
2024-05-30 01:02:20,21:00,Catherine Wells,3,6909,53.7147435,78.978707,28.0,8.6,70.7,Teenager,Male,Themselves doctor successful term.
2024-05-08 21:55:58,08:00,Giles Knoll,1,2062,30.496191,84.033887,25.2,7.9,68.3,Elderly,Male,Trip us factor raise cost eight.
2024-05-10 09:31:23,18:30,Joy Terrace,10,5912,2.329041,-32.989705,37.0,3.4,66.9,Child,Male,Defense prove home benefit.
2024-05-02 15:23:20,14:15,Harrison Forks,5,9052,-86.9063585,124.641744,36.5,3.1,70.2,Teenager,Male,Marriage no moment consumer yes class also.
2024-05-14 10:09:13,16:45,James Valleys,8,7188,-62.203839,25.531678,34.0,9.2,88.5,Adult,Female,What through two clearly natural since coach.
2024-05-20 18:38:22,14:00,Gallegos Prairie,2,2048,-58.025965,-176.269205,33.3,9.2,87.1,Adult,Female,There whom billion large.
2024-05-14 22:49:34,08:00,Kristina Lodge,5,6736,6.922385,89.096448,29.7,5.3,85.8,Teenager,Male,Whom shake share check.
2024-05-25 10:47:48,19:30,Teresa Mount,5,1885,69.5278135,-58.316698,39.5,1.4,65.8,Child,Male,Expect manager education.
2024-05-03 23:45:30,17:15,Wheeler Lights,3,7140,-16.1568875,146.821723,29.4,8.3,71.5,Teenager,Female,Edge person could purpose goal use.
2024-05-16 10:16:09,16:15,Whitaker Ramp,5,4752,-4.305542,-15.302494,29.4,5.6,69.8,Teenager,Female,Material star company study oil far.
2024-05-17 17:50:44,14:00,Wade Harbors,1,9062,-40.1944675,15.988260,28.4,0.2,61.5,Teenager,Male,Start might better box.
2024-05-02 08:21:09,14:30,Bernard River,9,7093,-50.4308895,-87.421750,32.0,0.8,75.3,Child,Female,Speech off you simple compare claim pick.
2024-05-14 11:12:11,17:30,Jones Rest,3,8020,85.446204,32.815839,30.3,3.1,87.7,Child,Male,First much month reason enter medical.
2024-05-22 10:53:53,19:30,Campbell Ramp,9,7200,-66.139542,49.414929,28.8,4.2,82.1,Teenager,Female,Gun become analysis democratic close stuff.
2024-05-10 22:13:47,18:00,Burgess Ways,5,7247,-7.9836885,-165.412228,25.4,7.3,64.3,Adult,Female,Other many discussion player relationship bad.
2024-05-02 13:08:35,21:45,Jordan Port,9,8895,43.343050,135.615218,27.5,2.2,68.7,Teenager,Male,Fear past toward she side mean discuss fall.
2024-05-03 20:22:18,12:45,White Causeway,7,8515,38.8600575,121.940709,28.6,0.7,83.5,Child,Female,With box evening speak wide foot visit.
2024-05-22 19:12:11,18:30,Gonzales Locks,4,3778,17.034940,-97.303650,37.4,0.4,61.2,Elderly,Male,Result contain make morning than.
2024-05-21 15:21:09,16:30,Flores Throughway,2,5258,83.255879,11.988675,31.7,3.6,75.2,Teenager,Male,Quickly style adult drug out future.
2024-05-06 19:22:34,15:00,Ortiz Expressway,4,7110,-9.9895265,41.418276,24.1,4.0,73.3,Teenager,Female,Successful spring college by major crime better.
2024-05-12 02:01:35,06:30,Patrick Vista,9,1794,35.4222285,-140.822805,28.3,1.6,62.1,Adult,Female,Away computer dog beyond.
2024-05-28 17:22:45,21:45,Jill View,9,7627,80.518074,-39.762839,31.1,0.5,63.0,Child,Male,Treatment but drive.
2024-05-22 00:39:59,19:15,Steven Prairie,6,2306,-81.795379,150.803259,31.2,2.2,77.2,Child,Female,Challenge old hear must born month.
2024-05-03 11:49:51,11:15,Blair Centers,9,7085,-51.253116,154.728409,30.4,9.2,84.9,Elderly,Male,Continue country vote.
2024-05-21 21:28:23,09:00,Timothy Dale,7,7175,63.732721,62.015476,28.3,0.6,88.1,Child,Female,Hotel prevent hand front despite positive home.
2024-05-03 07:28:48,16:15,Scott Wells,4,6497,62.2673685,-121.751148,22.4,4.7,62.5,Child,Female,Recent throw information conference if piece.
2024-05-19 23:30:30,20:30,Craig Streets,9,1521,17.3991575,61.646775,25.9,4.8,71.0,Child,Female,From recently world scene Mrs hold food.
2024-05-15 18:00:50,17:30,Kelley Knolls,5,9464,76.7290095,46.176815,39.2,5.8,81.8,Adult,Female,Create former run accept interest.
2024-05-24 05:01:52,07:00,Roberts Bridge,8,7684,9.8420935,21.476028,32.3,9.9,73.2,Adult,Female,Especially impact everybody crime.
2024-05-01 02:13:51,17:45,Morgan Stravenue,5,9557,-7.779606,-58.252775,33.5,0.3,87.0,Child,Male,Billion these benefit police start ground.
2024-05-10 12:43:34,06:00,Lisa Extension,9,1260,-68.0125735,31.016156,31.4,8.9,86.9,Teenager,Female,Any able economy pay. If they difficult blue.
2024-05-18 08:59:11,06:30,Jon Junctions,5,3400,-79.4581705,129.878310,29.2,9.1,81.1,Elderly,Female,Crime carry partner fine. Win tend term seem.
2024-05-21 16:38:54,09:15,Zimmerman Courts,9,4749,-31.0053845,-96.920747,28.8,3.1,74.3,Child,Male,Single behavior yard summer.
2024-05-24 11:42:15,13:15,Martinez Course,8,4061,-9.7973635,-47.118294,28.4,4.0,84.8,Elderly,Female,Front late should financial can.
2024-05-22 20:46:37,20:15,Young Circles,7,6408,-52.948486,61.833521,28.6,1.9,86.7,Teenager,Female,Yet situation course live.
2024-05-23 17:25:54,19:45,Jamie Garden,8,5932,6.1612685,86.606891,23.7,4.4,63.1,Elderly,Male,Provide authority forward society person.
2024-05-07 10:10:29,21:30,Michael Lights,6,6655,-12.8169195,170.539523,36.1,0.5,79.7,Elderly,Female,Suggest food you decade operation.
2024-05-29 18:17:52,20:30,Ashley Hollow,7,1257,61.584490,2.487297,38.0,4.4,67.2,Teenager,Female,Again represent indicate good.
